User Site ID	NASIS Group Name	obsYear	obsMonth	obsDAY	Current Taxon Name	Current Taxonomic Class	Std Latitude	Std Longitude
1966MI037012	12-GRR Points	1966	8	30	Parkhill	Fine-loamy, mixed, semiactive, nonacid, mesic Mollic Endoaquepts	42.9822778	-84.5486972
1965MI037062	12-GRR Points	1965	7	13	Parkhill	Fine-loamy, mixed, semiactive, mesic Typic Endoaquolls	42.8389972	-84.4381417
1971MI037014	12-GRR Points	1971	11	12	Parkhill	Fine-loamy, mixed, semiactive, mesic Mollic Endoaqualfs	42.9475917	-84.561275
1966MI037024	12-GRR Points	1966	9	6	Parkhill	Fine-loamy, mixed, semiactive, nonacid, mesic Aeric Endoaquepts	43.0141194	-84.5573361
1968MI045003	12-GRR Points	1968	8	22	Brookston	Fine-loamy, mixed, superactive, mesic Argiaquic Argialbolls	42.48805	-84.8198361
1969MI045001	12-GRR Points	1969	6	18	Brookston	Fine-loamy, mixed, superactive, mesic Argiaquic Argialbolls	42.7459167	-84.8757472
1983MI081001	12-GRR Points	2016	3	31	Parkhill	Fine-loamy, mixed, semiactive, mesic Typic Endoaquolls	43.1765111	-85.7791028
1990MI105005	12-GRR Points	1990	8	14	Parkhill	Fine-loamy, mixed, semiactive, nonacid, mesic Mollic Epiaquepts	44.0501417	-86.3837639
1979MI073008	12-GRR Points	1979	11	27	Parkhill	Fine-loamy, mixed, semiactive, mesic Aquic Hapludolls	43.6697722	-84.9045806
1979MI073009	12-GRR Points	1979	7	18	Parkhill	Fine-loamy, mixed, semiactive, nonacid, mesic Typic Endoaquepts	43.5251861	-84.8607083
1979MI073010	12-GRR Points	1979	6	11	Parkhill	Fine-loamy, mixed, semiactive, nonacid, mesic Mollic Endoaquepts	43.4752889	-84.6811139
1983MI073007	12-GRR Points	2016	4	15	Parkhill	Fine-loamy, mixed, semiactive, mesic Typic Endoaquolls	43.5508194	-84.7465167
1964MI057001	12-GRR Points	1964	10	1	Parkhill	Fine-loamy, mixed, semiactive, mesic Oxyaquic Humudepts	43.2633278	-84.692375
1967MI057003	12-GRR Points	1967	5	12	Parkhill	Fine-loamy, mixed, semiactive, mesic Typic Epiaquolls	43.2595361	-84.7914806
1967MI057004	12-GRR Points	1967	11	2	Parkhill	Fine-loamy, mixed, semiactive, nonacid, mesic Mollic Endoaquepts	43.3951083	-84.6074639
1979MI159018	12-GRR Points	1979	8	22	Grattan	Sandy, mixed, mesic Entic Haplorthods	42.3161639	-86.2988472
1979MI081036	12-GRR Points	1979	3	21	Grattan	Sandy, mesic Entic Haplorthods	43.2530361	-85.7122389
1979MI081036	12-GRR Points	1979	3	21	Kaleva	Sandy, isotic, mesic Typic Haplorthods	43.2530361	-85.7122389
1989MI127004	12-GRR Points	1989	5	25	Kaleva	Sandy, isotic, mesic Typic Haplorthods	43.8046944	-86.355275
1987MI105004	12-GRR Points	1987	8	17	Kaleva	Sandy, isotic, mesic Typic Haplorthods	44.0994194	-86.3295306
1987MI105005	12-GRR Points	1987	11	12	Kaleva	Sandy, isotic, mesic Typic Haplorthods	44.0168889	-86.3508306
2004MI019004	12-GRR Points	2016	4	28	Kaleva	Sandy, isotic, mesic Typic Haplorthods	44.6016583	-85.8576222
1997MI101009	12-GRR Points	1997	8	26	Kaleva	Sandy, isotic, mesic Typic Haplorthods	44.4240556	-85.9700222
1996MI019013	12-GRR Points	1996	5	7	Kaleva	Sandy, isotic, mesic Typic Haplorthods	44.58575	-85.9568333
1998MI019101	12-GRR Points	1998	5	21	Kaleva	Sandy, isotic, mesic Typic Haplorthods	44.5474444	-86.0266139
1998MI101001	12-GRR Points	1998	5	21	Kaleva	Sandy, isotic, mesic Typic Haplorthods	44.4433778	-85.9971639
1988IN111005	12-GRR Points	2016	5	31	Granby	Sandy, mixed, mesic Typic Endoaquolls	41.0580111	-87.3684361
1982IN111007	12-GRR Points	1982	12	9	Granby	Sandy, mixed, mesic Typic Endoaquolls	41.1363194	-87.3948694
1976IN087011	12-GRR Points	2016	6	2	Granby	Sandy, mixed, mesic Typic Endoaquolls	41.6842528	-85.20455
1981MI081090	12-GRR Points	1981	3	25	Granby	Sandy, mixed, mesic Typic Endoaquolls	43.1699111	-85.6887639
1977MI065004	12-GRR Points	2016	6	3	Granby	Sandy, mixed, mesic Typic Endoaquolls	42.4617194	-84.3259917
1977MI077004	12-GRR Points	2016	6	3	Granby	Sandy, mixed, mesic Fluvaquentic Humudepts	42.3623389	-85.7288944
1966MI121001	12-GRR Points	2016	6	6	Granby	Sandy, mixed, mesic Typic Endoaquolls	43.4076056	-86.0418333
1967MI139002	12-GRR Points	2016	6	6	Granby	Sandy, mixed, mesic Typic Endoaquolls	42.9662278	-86.0912528
1974MI021026	12-GRR Points	1974	7	8	Granby	Sandy, mixed, mesic Typic Endoaquolls	41.8991556	-86.5132306
1975MI021106	12-GRR Points	1975	10	7	Granby	Sandy, mixed, mesic Typic Endoaquolls	41.9164028	-86.5106861
1975MI021043	12-GRR Points	1975	6	19	Kingsville	Mixed, mesic Mollic Psammaquents	41.9578028	-86.5656
1975MI021002	12-GRR Points	1975	5	16	Granby	Sandy, mixed, mesic Typic Endoaquolls	42.0264139	-86.5332
1974MI021050	12-GRR Points	1974	8	2	Granby	Loamy over sandy or sandy-skeletal, mixed, mesic Typic Endoaquolls	42.21485	-86.3512167
1989MI025065	12-GRR Points	1989	9	26	Blount	Fine, mixed, mesic Aquic Hapludalfs	42.3935583	-84.794675
S1991MI025002	12-GRR Points	1991	6	1			42.3599306	-84.8263583
